,f0,f1,f2,f3,f4,f5,f6,f7,auc
105,0,1,1,0,1,0,0,1,0.9912075866632849
182,1,0,1,1,0,1,1,0,0.9912122510735433
126,0,1,1,1,1,1,1,0,0.9912252239645738
46,0,0,1,0,1,1,1,0,0.9912344070222697
118,0,1,1,1,0,1,1,0,0.9912472341504798
117,0,1,1,1,0,1,0,1,0.9912495663556089
111,0,1,1,0,1,1,1,1,0.9913188036953791
120,0,1,1,1,1,0,0,0,0.9913332342146153
166,1,0,1,0,0,1,1,0,0.991338044387694
58,0,0,1,1,1,0,1,0,0.99134212574667
63,0,0,1,1,1,1,1,1,0.9913456240543638
102,0,1,1,0,0,1,1,0,0.991357722368471
56,0,0,1,1,1,0,0,0,0.9913772545864272
61,0,0,1,1,1,1,0,1,0.991378274926171
165,1,0,1,0,0,1,0,1,0.9913810444197619
224,1,1,1,0,0,0,0,0,0.9913976613813068
57,0,0,1,1,1,0,0,1,0.9914071359646438
173,1,0,1,0,1,1,0,1,0.9914376003941427
110,0,1,1,0,1,1,1,0,0.9914642749903066
123,0,1,1,1,1,0,1,1,0.9914652953300507
171,1,0,1,0,1,0,1,1,0.9914724377082587
121,0,1,1,1,1,0,0,1,0.9914864309390332
180,1,0,1,1,0,1,0,0,0.9914887631441622
106,0,1,1,0,1,0,1,0,0.9914926987403176
104,0,1,1,0,1,0,0,0,0.9914929902659588
167,1,0,1,0,0,1,1,1,0.9915010072210901
226,1,1,1,0,0,0,1,0,0.9915078580736568
225,1,1,1,0,0,0,0,1,0.9915340953813592
231,1,1,1,0,0,1,1,1,0.9915349699582827
230,1,1,1,0,0,1,1,0,0.9915349699582827
164,1,0,1,0,0,1,0,0,0.9915502750544424
170,1,0,1,0,1,0,1,0,0.9915585835352149
108,0,1,1,0,1,1,0,0,0.9915636852339348
107,0,1,1,0,1,0,1,1,0.9915644140480376
177,1,0,1,1,0,0,0,1,0.9915671835416284
119,0,1,1,1,0,1,1,1,0.9915682038813725
62,0,0,1,1,1,1,1,0,0.9915686411698341
179,1,0,1,1,0,0,1,1,0.991573451342913
178,1,0,1,1,0,0,1,0,0.991573451342913
227,1,1,1,0,0,0,1,1,0.9915836547403527
176,1,0,1,1,0,0,0,0,0.99160858018267
124,0,1,1,1,1,1,0,0,0.9916279666378055
160,1,0,1,0,0,0,0,0,0.9916302988429347
228,1,1,1,0,0,1,0,0,0.9916426886826831
172,1,0,1,0,1,1,0,0,0.9916542039455082
238,1,1,1,0,1,1,1,0,0.99166236666346
